id,title,link,date,description,content,imagesize
valle24Group, Highlights from UC Merced's Latest ¡Valle! Workshop  ,https://citris.ucmerced.edu/news/24ValleDoc,2024-11-19 00:00:00,How do you find your way to a lucrative career in tech? That’s a question many students want answered. The Center for Information Technology Research in the Interest of Society (CITRIS) and the Banatao Institute at UC Merced hosted the sixth annual ¡Valle! Get Your Start in Tech!,"Breaking barriers and building bridges: Over the course of three transformative days, ¡Valle! Get Your                                    Start in Tech! empowered 27 students from California’s Central Valley to reimagine their futures in STEM.                                    Hosted by the Center for Information Technology Research in the Interest of Society and Banatao                                    Institute at UC Merced, the sixth annual workshop combined hands-on learning, career-building tools,                                    and community connection to pave pathways for underrepresented students into tech and research                                    careers—one pitch, code, and connection at a time. When Linda Garcia first attended ¡Valle! as a                                    freshman four years ago, she learned skills in making an elevator pitch and networking. This year, Linda                                    had the opportunity to return to the program as a ¡Valle! Ambassador, gaining an opportunity to further                                    build her skills and mentor others starting out on their journey in STEM. Linda said,  “I attended ¡Valle!                                    during my freshman year at UC Merced. When I returned this year, I realized that the skills I had                                    learned during my first Valle have improved tremendously over the course of 4 years. Skills I’ve                                    learned such as making an elevator pitch and networking have helped me to get an internship at my                                    dream job, which led to a full-time role. The skills learned at this event are not taught in classes and                                    are essential for being successful in the field. Valle helped change my life.""                                    During an intensive three-day event, students learned with tools to navigate careers in technology. The                                    program emphasized skill-building, networking, and increasing self-confidence for students in STEM                                    fields. Participants attended career talks, coding workshops, and networking sessions designed to                                    connect them with peers, industry professionals, and faculty. Throughout the weekend, students built                                    their communication and networking skills, learned new coding skills with Google Earth Engine and                                    drones, attended career talks, worked on application materials for jobs and internships, networked                                    through LinkedIn, and grew their STEM communities. These activities aimed to enhance career readiness                                    as well as the students’ sense of belonging within the tech and STEM communities.                                                                    A common theme throughout the weekend focused on the importance of networking, touched on by                                    many of the speakers who gave examples of the power of networking in their own career journeys. The                                    students practiced their own elevator pitches and had the chance to share them in a real networking                                    setting to mentors from industry and academia during a formal business dinner in downtown Merced.                                                                    ¡Valle! was developed to address disparities in STEM by increasing accessibility to research experiences                                    and professional opportunities for students from California’s Central Valley. Since its inception, the                                    program has aimed to build a diverse talent pipeline to meet the growing demands of the tech industry                                    while fostering community connections. Designed to increase self-efficacy and sense of belonging in                                    STEM, ¡Valle! fosters diversity in STEM by increasing the accessibility of students in STEM to research                                    experiences, graduate school, and tech careers. The program has supported more than 170 students to                                    date, with plans to expand its reach in coming years.                                                                    This year’s attendees continued the tradition of gaining exposure to opportunities in research and                                    industry while building a sense of agency in shaping their futures. ¡Valle! Get Your Start in Tech! was                                    supported this year through funding from CITRIS’ Workforce Innovation Program.                                                                    ¡Valle! Get Your Start in Tech! is transforming lives and creating pathways for underrepresented students                                    in the Central Valley to thrive in STEM careers. Your support can help us expand this impactful program                                    and reach even more students with opportunities to gain critical skills, build confidence, and connect                                    with the tech community. Join us in shaping the next generation of diverse STEM leaders by making a                                    donation today to CITRIS at UC Merced. Together, we can empower students to achieve their dreams and                                    drive innovation for the future.                                ",
BGCmain, Fly CITRIS and Nextech at Boys & Girls Club of Merced County,https://citris.ucmerced.edu/news/BGC-fly,2024-07-23 00:00:00, Students from the Boys & Girls Club of Merced County explored the exciting worlds of drones and robotics through the FLY CITRIS and NexTech programs. The event featured hands-on activities that introduced drone technology and robotics projects.,"                                    This summer, the Boys and Girls Club of Merced County was filled with energy and enthusiasm as CITRIS education interns introduced local youth to the exciting world of robotics and drones. Over the course of three days, students engaged in hands-on activities that ignited their passion for engineering and technology through programs called NexTech Robotics and FLY CITRIS. Under the guidance of CITRIS’ education interns, four engineering undergraduates at UC Merced, Boys and Girls Club students built a series of VEX robots. The students, ranging from 5th to 8th grade, eagerly assembled the bots, learning the intricacies of robotics and teamwork. After constructing their robots, they participated in friendly competitions, putting their creations to the test in various challenges designed to enhance their problem-solving and engineering skills.                                                                    Next, the UC Merced CITRIS interns introduced the basics of coding, and the young participants quickly picked up on programming fundamentals. They programmed their robots to complete specific tasks, from navigating mazes to performing precise movements, and even simulated agricultural tasks such as planting seeds, watering crops, and harvesting. These activities reinforced their understanding of logic and sequence while demonstrating the practical applications of robotics in agriculture.                                                                    On their last day, the Boys and Girls Club students had the chance to fly drones and navigate obstacles, while learning about how drones can be used in agriculture. These hands-on activities are a fun way to infuse learning into summertime and get K-12 students excited about STEM so they can see themselves as future scientists and engineers. These summer programs were made possible in part by a partnership with the  Internet of Things for Precision Agriculture (IOT4Ag), an NSF Engineering Research Center.                                ",
fly-plainsburg-teaching, FLY CITRIS AT PLAINSBURG ELEMENTARY,https://citris.ucmerced.edu/news/fly-plainsburg,2024-05-28 00:00:00,"Plainsburg Elementary buzzed with excitement as UC Merced engineering students introduced local 6th-8th grade students to the world of drones through a program called FLY CITRIS. With a visit from the UC Merced Mobile Maker lab, Mobi, students experienced new drone technology and unique engineering concepts.","                      On May 28, 2024, Plainsburg Elementary buzzed with excitement as UC Merced engineering                      students introduced local 6th - 8th grade students to the world of drones through a program called                      FLY CITRIS. With a visit from the UC Merced Mobile Maker Lab, or ""Mobi"", students                      experienced new drone technology and unique engineering concepts. Each student was provided                      the opportunity to fly drones through obstacle courses, enhancing their piloting skills and                      understanding of aerodynamics. These practical sessions were complemented by conversations                      on ag-tech applications, where students discovered how drones are revolutionizing agriculture by                      monitoring crop health, optimizing irrigation, and managing pests. By merging fun, hands-on                      drone activities with real-world agricultural technology insights, FLY CITRIS not only                      captivated the students' imaginations but also showcased the transformative potential of drones                      in modern agricultural practices. Kristi Kingston, the Plainsburg School Superintendent, noted                      how engaged and entertained the students were with the drones. “This experience was one that                      some students would have never been able to have without this group. Thank you for partnering                      with our small, rural school and giving our 6th, 7th, and 8th graders an awesome experience to                      end the year with.""                                          Students at Plainsburg have spent the past 6 weeks learning about robotics through UC Merced                      CITRIS’ NexTech Robotics program and were eager to learn more skills. ""For some kids,                      'Robotics was the best two days of the week!'"" said Plainsburg Elementary School teacher                      Jennifer Tanachion. CITRIS Education Intern Santiago Ramirez Manzo observed, ""working at                      Plainsburg as a NexTech educator I was able to witness the students’ attitudes towards robotics                      and engineering concepts grow from reluctant to enthusiastic. The willingness of the students as                      a whole to participate and engage with NexTech curriculum allowed them to excel in the                      engineering challenges we presented them with. Overall, my semester spent as a NexTech                      educator at Plainsburg was an equally exciting, challenging, and rewarding experience.""                                          Through FLY CITRIS and its robotics counterpart, NexTech Robotics, UC Merced is not only                      educating young minds but also fostering a community of learners who are excited about the                      possibilities of science and ag-tech. By making STEM education accessible and engaging, these                      programs are helping to shape the future of innovation, one student at a time.                    ",
fly-citris,FLY CITRIS TAKES FLIGHT AT UC MERCED'S EXPANDING YOUR HORIZONS CONFERENCE,https://citris.ucmerced.edu/news/fly-citris,2024-03-22 00:00:00,"FLY CITRIS, an innovative drone education program run by CITRIS, was showcased during a workshop at the 10th annual Expanding Your Horizons (EYH) Conference organized by the Society of Women Engineers on Saturday, March 18, 2024.","                        FLY CITRIS, an innovative drone education program run by CITRIS, was showcased during a workshop at                        the 10th annual Expanding Your Horizons (EYH) Conference organized by the Society of Women                        Engineers on Saturday, March 18, 2024. The conference, hosted in person at the UC Merced campus,                        aims to inspire middle and high school girls to explore opportunities in science, technology, engineering,                        and mathematics (STEM). Participants immersed themselves in hands-on activities, through manual                        flying and an engaging drone obstacle course. These activities foster teamwork, spatial thinking, and                        mission planning skills, while promoting opportunities in STEM.                                            During the conference, attendees had the opportunity to experience FLY CITRIS firsthand, along with                        other engaging workshops and talks hosted by various organizations across the UC Merced campus. This                        included a panel talk focusing on “Women in STEM,” featuring CITRIS Director Dr. Erin Hestir.                                            ""CITRIS is proud to once again support SWE in their important efforts to nurture girls' interests in math                        and science and careers in science, technology, engineering and math,” said Dr. Hestir. “We look                        forward to a future where our tech workforce is more diverse, more inclusive, and filled with brilliant                        young minds like those we saw today.""                                            The conference aims to provide young girls with exposure to STEM fields and inspire them to pursue                        careers in these areas. Eleanor King, CITRIS Outreach and Education Coordinator, said about the                        workshop, “It’s exciting to engage with future scientists, engineers, and drone pilots as they get to fly for                        the first time. We hope to continue running workshops like FLY that provide even more students with                        the opportunity to explore new STEM pathways.”                    ",
2023edge-in-tech-symposium,2023 EDGE in tech symposium,https://citris.ucmerced.edu/news/2023edge_in_tech_symposium,2023-03-02 00:00:00,"The 7th Annual Edge in Tech Symposium was held virtually on March 2nd, 2023. This year’s overarching theme was Smarter Tech for a Resilient Future and highlighted the experiences of experts using emerging technologies to advance innovation for more sustainable infrastructure.","                                        UC Merced’s strengths in water and agriculture shine at Diversity in Tech                                        Symposium                                        The 7th Annual Edge in Tech Symposium was held virtually on March 2nd, 2023.                                        This year’s overarching theme was Smarter Tech for a Resilient Future and                                        highlighted the experiences of experts using emerging technologies to advance                                        innovation for more sustainable infrastructure.                                        Watch the highlights of the panel                                             here                                        California is facing a water crisis, with 40-60% of the state's water supply                                        coming from groundwater. Agriculture accounts for 80% of California’s water                                        usage, making it imperative for us to find innovative and sustainable ways to                                        manage our water resources. In this context, technology can play a vital role in                                        enabling resilience and equity.                                        To showcase some of these challenges, Erin                                            Hestir who serves as the Associate Director of CITRIS  UC Merced and Professor of                                        Geomatics, moderated a panel discussion on “Water and Agriculture: Resilience                                        through Better Information.” As Hestir stated, “Water has been the subject of a                                        lot of attention both in California and across the world. These panelists are                                        here to share their thoughts with us about the intersection of water and                                        agriculture and how technology can help us build resilience.” The panel                                        discussion featured research, non-profit, and technology sector experts:Dr. Newsha Ajami,                                        Chief Strategy and Development Officer for Research, Lawrence Berkeley National                                        LaboratoryConnie Bowen,                                        Co-Founder, FarmHand Ventures, andDr. Tara Moran,                                        President and CEO, California Water Data Consortium                                        One example of technology-enabled resilience that could lead to improvements in                                        water management is using a distributed cloud-based system. This system can                                        provide data in a wide variety of ways, making it accessible to people from                                        different backgrounds and with different skill sets.                                        Speaking on this, Moran shared further about how upcoming projects can provide                                        data to a wide range of users. For example, the California Water Data Consortium                                        is currently developing an open-source groundwater accounting platform that                                        integrates data from a variety of different sources, in partnership with the                                        Environmental Defense Fund, the Department of Water Resources, and the State                                        Water Resources Control Board. “It essentially links district-level water                                        budgets directly with parcel-level information so that landowners can plan for                                        their growing season,” Moran stated. “They can really understand what their                                        water use is, how it relates to district level goals, and, and then make                                        planning decisions associated with it.” This cloud-based system helps people see                                        what wider impacts pumping water may have and what to expect within a larger                                        system, effectively sharing that data with a diverse group of interests.                                        Panelists noted data in a vacuum can be problematic as it lacks local context.                                        To ensure that technology is relevant and useful, involving local people in the                                        policymaking process is essential. For example, Dr. Ajami, during her time at                                        Stanford University, conducted a study that involved bringing local people to                                        the table to find out what questions they had in an attempt to address this                                        issue.                                        Ajami also spoke on the unintended consequences of policies that favor                                        large-scale farming, essentially overdrafting from water resources. “Groundwater                                        is an interest,” Ajami told attendees, “like your bank account. You put things                                        in, you take things out, and we need to put money back in for that savings                                        account to have a value. Otherwise, it'll be an empty account that you are never                                        able to draw from.” In one example, a tariff passed in Mexico made electricity                                        cheap, resulting in the overuse of water and overdrafting. The farm workers in                                        Baja California are now permanent in the region as a result, but they have no                                        access to sanitation, education, or water services. Technology can help address                                        these issues, but it must be designed with the people doing the work in                                        mind.                                        Connie Bowen emphasized the importance of interdisciplinary learning to address                                        the complex challenges facing California's water resources. She also spoke about                                        the need to ensure equity in policy and investment implementation. One way to                                        achieve this is to encourage different backgrounds and ways of thinking, which                                        can lead to more innovative and equitable solutions, particularly in the realms                                        of agriculture and water.                                        “Our agricultural system needs to be able to both provide cheap nutrition and                                        not do so at the expense of people,” Bowen said, discussing the current                                        challenges. “Currently, it's not quite doing that, and that is inherently                                        related to its sustainability and water management elements.” As part of one                                        solution, she recommended more frequently bringing diverse stakeholders to the                                        table, where they can be more involved in the issues that impact them.                                        To create a better, diverse, and resilient future for California's water                                        resources, it is important to involve more people at the table, discuss how                                        solutions benefit the most variety of people, and have more leaders from                                        different backgrounds with resources and capital. It is also vital to be aware                                        of how venture capital works and encourage different backgrounds and ways of                                        thinking while learning how to deal with disagreements and accept other                                        cultures.                                        In addition, academic interdisciplinary collaboration can foster an exchange of                                        knowledge to help tackle the complex challenges facing both California's water                                        resources and those worldwide. As Dr. Ajami shares at the end of the panel, “The                                        day that we break some of these existing fragmented systems and have more                                        interdisciplinary people educated at academic institutions that think about                                        systems rather than just one box at a time... will be my happy day because I                                        know that those create exchanges that expand people’s thinking and knowledge.”                                    ",
farmers_undergrad,USDA Scholarship for UC Merced students. OPEN TO ALL MAJORS,https://citris.ucmerced.edu/news/farmers_scholarship,2023-03-20 00:00:00,"USDA FARMERS is a paid internship to do research and participate ion computational and agricultural training. Connect with your favorite professor and apply for $12,500 over the academic year including the summer.",Learn more and apply,
modeling-future,Modeling Your Future,https://citris.ucmerced.edu/news/Modeling-Your-Future,2022-11-05 00:00:00,"A workshop series inaugural event to learn about technology, Computer Science, networking and research. This is a free conference, open to Central Valley students. Discover paid research opportunities and apply at this event. Register here.","Happening at UC Merced on Saturday, November 5th, 8:30 AM - 7:30                                            PMA workshop series inaugural event to learn about technology, Computer Science,                                        networking and research.                                        This is a free conference, open to Central Valley students.                                        Discover paid research opportunities and apply at this event.                                        Register here.",
,CITRIS hosts California Farm Bureau President,https://citris.ucmerced.edu/news/farm-bureau-at-work,2022-10-26 00:00:00,"Farm Bureau representatives met with Chancellor Juan Muñoz of the University of California, Merced, this month to discuss potential science and research collaborations that may benefit farmers, ranchers and students, while generating important agricultural data to guide policymakers.","                      Farm Bureau representatives met with Chancellor Juan Muñoz                      of the University of California, Merced, this month to                      discuss potential science and research collaborations that                      may benefit farmers, ranchers and students, while                      generating important agricultural data to guide                      policymakers.                                          Muñoz met with California Farm Bureau leaders, including                      President Jamie Johansson, Administrator Jim Houston and                      Director of Science and Research Amrith Gunasekara.                                          UC Merced is working to bring new technologies in                      engineering and robotics to California agriculture to help                      address climate change through innovation.                                          The Farm Bureau delegation also met with the following                      leaders from UC Merced: Gillian Wilson, vice chancellor                      for research; Rakesh Goel, dean of the School of                      Engineering; Josh Viers, associate dean of research; and                      Leigh Bernacchi, director of the Center for Information                      Technology Research in the Interest of Society.                    https://www.agalert.com/ag-alert-features/farm-bureau-at-work1/",
CCSTImage1,Lisa Yeo comments on ag tech information and protecting users in CCST Panel,https://citris.ucmerced.edu/news/CCST-Lisa-Yeo,2022-10-18 00:00:00,"Agricultural innovation depends on detailed information. Data are collected at every step of the production process, with sensors on combines and tractors, irrigation, drainage ditches, water wells, not to mention remote sensing and aerial maps of fields.","                      Agricultural innovation depends on detailed information.                      Data are collected at every step of the production                      process, with sensors on combines and tractors,                      irrigation, drainage ditches, water wells, not to mention                      remote sensing and aerial maps of fields. Food and fiber                      processing is similarly tracked to be able to pinpoint                      challenges in the system. All this data can feel like a                      real intrusion into agricultural producers' operations and                      lives. Precision agriculture provides opportunities for                      better management, but also poses risks to our food system                      due to cybersecurity attacks.                                          “Toward a Disaster Resilient California: Cultivating                        Data Security Practices in Precision Agriculture,” a California Council on Science & Technology (CCST)                      expert briefing on precision agricultural and best                      practices in data security addressed these issues.                      Facilitated by UC Irvine Vice Chancellor for Research                      Pramod Khargonekar, the panel covered several components                      along the data supply chain and the risks.                                          University of California, Merced professor                      Lisa Yeo, a cybersecurity and infrastructure expert in the School                      of Engineering's Management of Complex Systems department,                      provided expert commentary and recommendations on private                      and secure data focused on the producers and users of the                      data and information.                                          Prof. Yeo started by defining agriculture and our food                      supply as critical infrastructure and that it “needs to be                      protected in the same way as other infrastructure.”                                          “We have this habit as engineers of solving problems but                      not thinking of the whole systems. Inasmuch as we're                      creating agriculture internet of things devices, from                      sensors to connected tractors, we have to think about the                      best practices of designing with security in mind, and                      very much do that in places where we have critical                      infrastructure,” Yeo said. As a member of the NSF                      Engineering Research Center                      IoT4Ag                      and                      CITRIS-affiliated faculty, she continued, “In the IoT space, we                      have seen a lot of small devices that have poor                      design—default passwords, no passwords, difficulty                      changing them—that have been used in attacks elsewhere.”                                          Regarding ransomware, “I think when you look at it, it's                      going to depend on the timing and where in the chain it                      happens.” Yeo drew an analogy between attacks on gas                      stations versus                      oil pipelines, “It's not necessarily on the small farm where                      ransomware is going to have an immediate impact on our                      food supply because there's still a farmer there who can                      still do the work… But if you start scaling up within the                      supply chain and in the production process, then we start                      to see challenges.”                                          “A typical user wants to use the tool to solve the problem                      they have. They don't want to become experts in how all                      the pieces come together and work.” The goal then for                      designers and researchers changes to “how to make it easy                      for them to do their jobs in a safe and secure way. And                      that's a very complex activity.”                                          Yeo concluded “We have to think about the best practices                      of designing with security in mind.”                                          CCST hosted the panel on the premise that to feed a                      growing population affordably and in a way that minimizes                      greenhouse gas production, the farming industry will need                      to rely on innovative technologies such as precision                      agriculture. The panel explored broadly explore the                      benefits of precision agriculture and the susceptibility                      of its data to theft or corruption, and the potential                      impacts of losing those data.                                          If you missed the briefing, you can                      watch the video                      and                      download the CCST one pager. See the video description for chaptered questions and                      more resources.                    ",
,LEDE: Agriculture's Next Big Step in Preserving the Planet,https://citris.ucmerced.edu/news/LEDE-Blog,2022-10-12 00:00:00,"Recently, the Center for Information Technology Research in the Interest of Society (CITRIS) and the Banatao Institute hosted University of California, Merced professor, recipient of a F3 Challenge Grant, and CITRIS Seed Fund Ricardo de Castro. On October 12, 2022, he discussed his newest endeavor.","                      Recently, the Center for Information Technology Research                      in the Interest of Society (CITRIS) and the Banatao                      Institute hosted University of California, Merced                      professor, recipient of a F3 Challenge Grant, and CITRIS                      Seed Fund Ricardo de Castro. On October 12, 2022, he                      discussed his newest endeavor: “Electric Propulsion in                      Agriculture Vehicles: Opportunities and Challenges.” Dr.                      de Castro dove into the pressing issue of the emission                      rates of diesel tractors.                                          As an undergraduate studying mechanical engineering, I                      have studied the emission rates and the overall                      inefficiencies within the diesel cycle. Seeing what I                      study being applied to real world scenarios was not only                      motivating but made me question personal career choices.                      CITRIS is a fully functioning research unit with the                      University of California, Merced with heavy student driven                      initiatives. CITRIS here at UC Merced addresses                      California’s most pressing societal and environmental                      problems by leveraging cutting-edge technologies,                      developing novel research, and conducting inspiring                      outreach. These research exchange events gave Dr. de                      Castro a platform to show all the challenging work he has                      done on advancing electric propulsion within agriculture.                                          In his talk, Dr. de Castro discusses how an electric                      powertrain has efficiencies greater than 90% while its                      diesel counterpart sits anywhere from 35-45% efficient. As                      explained by the automobile company,                      Kia, a powertrain is “an assembly of every component that                      pushes your vehicle forward."" Most inefficiency stems from                      friction and the heat generated during operations.                      Additionally, Electric powertrains also provide a quieter                      operation environment while the diesel powertrains are                      loud enough that the CDC says, “if an individual exposed                      to such an environment for even five minutes. The said                      individual is susceptible to permanent hearing damage and                      loss.” Dr. de Castro elaborated on maintenance between the                      two powertrains and the electric option comes out on top                      as the cheaper alternative. With all these overwhelming                      stats it poses the question; why are not all tractors                      electric already? Dr. de Castro explains that there are a                      few major limitations with electric.                                          Diesel powertrains are overall more efficient when it                      comes to harder and longer days whereas electric is only                      most viable in light work scenarios. This is in part to                      the size of battery, the cost of recharging, and the cost                      of a battery replacement. There is a limit of how big the                      battery can be because if it is too large the tractor                      could have a gross weight large enough that damages the                      soil because of the pressure induced by the tractor. As it                      stands currently, farms also do not have the                      infrastructure to support the charging of batteries.                                          However, Dr. de Castro gave multiple options and scenarios                      to combat the challenges of electric farm vehicles.                      Cutting the standard operation time down from eight hours                      to just four hours a day would make electric more viable –                      primarily since the load of a four-hour day is much less                      than that of an eight-hour day. Farmers are already                      looking for ways to reduce operation times to help lower                      fuel costs. Dr. de Castro adds that the cost to recharge                      these batteries is getting cheaper. Soon the price                      difference between gas and electricity will be cost                      effective enough to start utilizing electric tractors. In                      my opinion, the most important development is that only                      0.5% of the crop area here in California needs to be                      covered in solar panels to produce enough power to support                      all the tractors here in California.                                          Dr. Castro acknowledges that these new concepts and                      technology are challenging to implement. However, he has                      been developing comparison matrixes with simulations that                      will help the everyday farmer pick the right tractor                      fleet. Whether that is diesel, electric or even a hybrid.                                          For those interested, Dr. de Castro’s presentation is                      uploaded to the                      CITRIS                      YouTube channel for everyone to see.                    ",
