id,title,link,date,description,image_link
MultiResearch,Multinational Research Project Shows How Life on Earth can be Measured from Space,https://news.ucmerced.edu/news/2025/multinational-research-project-shows-how-life-earth-can-be-measured-space,2025-02-04,"Two new papers share details of BioSCape, a biodiversity survey of the South African Cape. This multinational research project uses remote sensing and field surveys to understand one of the most biodiverse areas of the world.",https://citris.ucmerced.edu/images/news/MultiResearch.jpg
Sensor-Cheap-Crops,"Sensor Provides Cheap, Smart Way to Monitor How Much Water Crops Need",https://news.ucmerced.edu/news/2025/sensor-provides-cheap-smart-way-monitor-how-much-water-crops-need,2025-01-28,"UC Merced mechanical engineering professor Reza Ehsani has developed an affordable, portable sensor clip to help farmers monitor their crops' water needs, aiding in more efficient irrigation and water conservation.",https://citris.ucmerced.edu/images/news/Sensor-Cheap-Crops.jpg
prof24citrisaward,Professor Reza Ehsani receives 2024 CITRIS Innovation Fellowship and AIC Award,https://citris-uc.org/citris-announces-recipients-of-inaugural-innovation-fellowship-and-aic-awards/,2024-12-18,"Congratulations to Professor Reza Ehsani, recipient of a CITRIS Innovation Fellowship and AIC Award to commercialize research on low-cost sensors for precision agriculture.",https://citris.ucmerced.edu/images/news/prof24citrisaward.jpg
AgPic,A Major Step Forward for UC Merced's Agricultural Experiment Station,https://news.ucmerced.edu/news/2024/major-step-forward-uc-merceds-agricultural-experiment-station?fbclid=PAZXh0bgNhZW0CMTEAAaYTZV37OcMF5zVz6YJ6LHVvT1GOvLa3kv42cef_tSuzTiD82V3P6t-UuuM_aem_JAX98pL_ZiPAjMbibGoOnA,2024-11-24,UC Merced’s Agricultural Experiment Station tackles agricultural challenges in the San Joaquin Valley and beyond. Faculty focus on sustainability smart farming and climate resilience using research from the 45-acre Experimental Smart Farm. They work with growers policymakers and UC Cooperative Extension to create solutions for a better future.,https://citris.ucmerced.edu/images/news/AgPic.jpg
UCDrones,Drone Research Experts Discuss Future at UC Santa Cruz,https://news.ucsc.edu/2024/10/drone-event.html,2024-10-07,UC Santa Cruz hosted a workshop on drone use in research focused on data collection processing and open science. Organized by CITRIS the event emphasized interdisciplinary collaboration and student involvement in drone technology and featured several UC Merced speakers.,https://citris.ucmerced.edu/images/news/UCDrones.jpg
ProfHester,International partnership advances water quality monitoring,https://citris-uc.org/citris-global-partnership-delivers-advanced-water-quality-monitoring/,2024-07-19,CITRIS PI Dr. Erin Hestir and Dr.Susan Ustin are collaborating with CSIRO to deliver near real-time water quality updates in the Sacramento-San Joaquin River Delta using an AquaWatch Australia sensor and satellite data.,https://citris.ucmerced.edu/images/news/ProfHester.jpg
picking-vibrations-cover,Picking up vibrations: Shijia Pan makes ambient surfaces smarter,https://citris-uc.org/picking-up-vibrations-shijia-pan-makes-ambient-surfaces-smarter/,2024-04-05,"The CITRIS principal investigator and assistant professor of computer science and engineering combines vibration sensors with the Internet of Things to develop nonintrusive, efficient and effective smart devices for health applications and more.",https://citris.ucmerced.edu/images/news/picking-vibrations-cover.jpg
course-to-success-valle,Charting a Course to Tech Success: Insights from UC Merced's ¡Valle! Event,https://news.ucmerced.edu/news/2024/charting-course-tech-success-insights-uc-merceds-%C2%A1valle-event,2024-04-04,How do you find your way to a lucrative career in tech? That's a question many students want answered. The Center for Information Technology Research in the Interest of Society (CITRIS) and the Banatao Institute at UC Merced hosted the seventh annual ¡Valle! Get Your Start in Tech! event in January.,https://citris.ucmerced.edu/images/news/course-to-success-valle.jpg
hack-merced-ix-health,Spotlight on Health Tech for Social Good at Hack Merced IX,https://news.ucmerced.edu/news/2024/spotlight-health-tech-social-good-hack-merced-ix,2024-04-01,"The ninth installment of Hack Merced recently brought together 168 innovators focused on developing technology for the greater good. The Center for Information Technology Research in the Interest of Society (CITRIS) and the Banatao Institute at the University of California, Merced, sponsored the Health for Social Good track, highlighting the intersection of technology",https://citris.ucmerced.edu/images/news/hack-merced-ix-health.jpg
ai-air-traffic-safety,Can AI Increase Air Traffic Safety,https://news.ucmerced.edu/news/2024/can-ai-increase-air-traffic-safety,2024-01-31,"Air traffic controllers sort out three-dimensional space at 600 miles per hour while keeping your flights safe and on time. But as challenges in air traffic increase, the Center for Information Technology Research in the Interest of Society and the Banatao Institute (CITRIS) envisions that big data techniques such as artificial intelligence, or AI, can help.",https://citris.ucmerced.edu/images/news/ai-air-traffic-safety.jpg
