ID,TITLE,LINK,BUTTON_TEXT,TEXT,DATES,LOCATION,EVENTABLE,HTML_ID,PDF_ID
AgAID-Digital-Agathon-flyer,AgAID Digital Agathon,https://citris.ucmerced.edu/agaid-digital-agathon,Learn More,The AgAID Institute’s mission is to build and foster partnerships between AI and Ag communities and create a transdisciplinary ecosystem for technology innovation and knowledge transfer.<ul class='default'><li>Work in teams of 4-6</li><li>Win Cash Prizes</li><li>Add a project to your resume</li><li>Participate in workshops with free food</li><li>Minimal programming experience needed</li></ul>,"January 27-29, 2023",,,,
wip-banner,CITRIS Workforce Innovation Program,https://citris-uc.org/labs-programs/citris-workforce-innovation/,Learn More and Apply,"The CITRIS Workforce Innovation Program helps UC students pursue world-changing research and accelerate their careers.<br>Applications are due Monday, Jan. 30<br>The program offers select University of California students the opportunity to inform their career decisions through eight-week paid internships, where they'll build in-demand skills through on-the-job experience. Participants will receive training in leadership and project management, and will be supported throughout the internship program by dedicated CITRIS staff, as well as the community of peers in their cohort.<br>CITRIS and the Banatao Institute invite undergraduates from all majors at UC Berkeley, UC Davis, UC Merced and UC Santa Cruz to apply for placements in one of five areas of emerging IT innovation important to the state of California: aviation, climate and energy, digital health, robotics, and semiconductors.<br>Students who represent the rich diversity of the University of California, including women, people from underrepresented backgrounds, Pell Grant recipients, undocumented students and first-generation students, are encouraged to apply.<br><b>Internship duration: 8 weeks</b><br>May-August 2023 (UC Berkeley and UC Merced students)",30-Jan-23,,,,
,CITRIS Foundry,https://citrisfoundry.org/,Learn More and Apply,"<b>Apply to the CITRIS Foundry spring 2023 cohort<br><br>Applications due Tuesday, Jan. 31, at 11:59 p.m. PST<br><br>The CITRIS Foundry is the University of California's deep tech incubator. We support top UC entrepreneurs in their journeys to turn information technology innovations into startups that will transform the world.<br><br>Located at the headquarters of the <a href='https://citris-uc.org' target='_blank'>Center for Information Technology Research in the Interest of Society and the Banatao Institute</a> (CITRIS) on the UC Berkeley campus, the CITRIS Foundry serves <a href='https://citris-uc.org/about/campuses/' target='_blank'>four UC campuses</a> by providing teams with resources and facilities to help bridge the gap from lab to market. Since its founding in 2013, the program has supported more than 126 teams that have raised over $220M in follow-on funding. <br><br>We invite you to apply to our 12-month program, which starts in spring 2023. <br><br><a href='https://citrisfoundry.org/program' target='_blank'>Apply by Jan. 31</a><br><br>Please visit the <a href='https://citrisfoundry.org' target='_blank'>CITRIS Foundry website</a> for a complete overview of the program scope, eligibility requirements and application guidelines. <br><br>Read about the program's refreshed vision in the <a href='https://citris-uc.org/citris-foundry-introduces-new-vision-under-managing-director-marc-theeuwes/' target='_blank'>Q&A with Marc Theeuwes</a>, the CITRIS Foundry's new managing director. <br><br>If you have any questions, please contact:<br><a href='mailto:thefoundry@citris-uc.org'>thefoundry@citris-uc.org</a></b>",31-Jan-23,,,,
tech-symposium,Smarter Tech for a Resilient Future,https://citris-uc.us2.list-manage.com/track/click?u=78285230b179f5fc2a6bcbbb3&id=833d66ff67&e=9540515cc2,Register Here,"2023 EDGE in Tech Symposium:
Smarter Tech for a Resilient Future<br><br>Thursday, March 2, 2023<br>9 a.m.-5 p.m. PT<br><br>How can we engage diverse talent to transform the future of infrastructure to address inequality and promote smarter environments?<br>Join EDGE in Tech, CITRIS and the Banatao Institute, and Berkeley Engineering on Thursday, March 2, 2023, for Smarter Tech for a Resilient Future, a virtual symposium highlighting the experiences of experts using emerging technologies to advance innovation for more sustainable infrastructure.<br><br>The event will feature professionals who are pioneering new approaches to intelligent transportation networks, healthy indoor environments, aviation infrastructure and next-generation agriculture. Speakers will also discuss their career pathways to help attendees visualize themselves in high-growth sectors and rise to meet society's needs for a greener future.<br>The symposium will also feature the EDGE in Tech Athena Awards, recognizing leaders who have championed the advancement of women and people of color in technology.",2-Mar-23,,,,
OLD,,,,,,,,,
CITRIS-TensorFlow-for-Social-Good,TensorFlow for Social Good,https://citris.ucmerced.edu/tsg,Learn More,"The CITRIS TensorFlow for Social Good program, funded by Google Research, is designed to give undergraduate students a start in TensorFlow, Machine Learning; build camaraderie and teamwork, and add a project to their resumes while developing something of use to society.<ul class='default'><li>Learn to use Tensorflow, an industry-grade machine learning technology</li><li>Work with teams of 2-4</li><li>Win prizes up to $1000</li><li>Add a project to your resume</li><li>Learn skills wanted in the industry</li><li>Participate in workshops with free food</li></ul>",Trainings Occur September 9 - Early December,,,,
West-Regional-Interview-Event,Lockheed Martin West Regional Virtual Hiring Event/Interview Day,https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?partnerid=25037&siteid=5123&PageType=JobDetails&jobid=702461#jobDetails=702461_5123,Engineering Opportunities,"We are looking for the best and brightest to help us fulfill our mission of keeping the world secure by seeking students looking for Full-Time or Internship positions and majoring in Computer Science, Cyber Security, Information Technology or related discipline to fill Software Engineering positions and those majoring in Aerospace, Computer, Electrical, Industrial, Manufacturing, Mechanical or related disciplines to fill a variety of Engineering positions.<center><a class='button' href='https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?partnerid=25037&siteid=5123&PageType=JobDetails&jobid=702458#jobDetails=702458_5123' target='_blank'>Software Opportunities</a></center>","Apply by November 9th, Interview day is November 15th",,,,
modeling-your-poster,Modeling Your Future,https://forms.gle/SsVFDMp6SxA8GYio8,Register Here,"Happening at UC Merced on Saturday, November 5th, 8:30 AM - 7:30 PM. <br><br>A workshop series inaugural event to learn about technology, Computer Science, networking and research. <ul class='default'><li>This is a free conference, open to Central Valley students.</li><li>Discover paid research opportunities and apply at this event.</li></ul>",November 5th 8:30 AM - 7:30 PM.,,,,
luca-camignani-event,Effects of wind and geometry on the smoldering of woody fuels,,NO_BUTTON,"Mechanical Engineering Seminar is hosting Luca Carmignani who is a new Fire Advisor at UC ANR. <br><br> Join Luca's Seminar about effects of wind and geometry on the smoldering of woody fuels on Friday, October 28th , 10:30 AM ",October 28th at 10:30 AM,,,,
BSA Overview Flyer 2022_Updated,Bobcat Summer STEM Academy (6th – 12th Grade),https://commerce.cashnet.com/cashneti/static/storefront/UCME251_W1/catalog,Register Here,"Bobcat Summer STEM Academy is a series of weekly workshops for middle and high school students at the UC Merced campus. BSA workshops are created by UC Merced faculty, postdocs, research scientists, students, and staff. Workshops are designed to give students one of a kind, hands-on STEM experiences. Bobcat Summer STEM Academy runs from June 6th, 2022 – July 29th, 2022. Workshops are in-person, Monday – Friday, from 9am – 4pm. Lunch and snacks are provided. Spots are limited to 24 students per workshop.",June 6th – July 29th ,,,teacher-summer-institute,
