ID,TITLE,LINK,DATE,DESCRIPTION,IMAGESIZE
hack-merced-ix-health,Spotlight on Health Tech for Social Good at Hack Merced IX,https://news.ucmerced.edu/news/2024/spotlight-health-tech-social-good-hack-merced-ix,01-Apr-24,"The ninth installment of Hack Merced recently brought together 168 innovators focused on developing technology for the greater good. The Center for Information Technology Research in the Interest of Society (CITRIS) and the Banatao Institute at the University of California, Merced, sponsored the "Health for Social Good" track, highlighting the intersection of technology, health and nutrition.",
fly-citris,FLY CITRIS TAKES FLIGHT AT UC MERCED'S EXPANDING YOUR HORIZONS CONFERENCE,https://citris.ucmerced.edu/news/fly-citris,22-March-24,"FLY CITRIS, an innovative drone education program run by CITRIS, was showcased during a workshop at the 10th annual Expanding Your Horizons (EYH) Conference organized by the Society of Women Engineers on Saturday, March 18, 2024."
ai-air-traffic-safety,Can AI Increase Air Traffic Safety, https://news.ucmerced.edu/news/2024/can-ai-increase-air-traffic-safety,31-Jan-24,"Air traffic controllers sort out three-dimensional space at 600 miles per hour while keeping your flights safe and on time. But as challenges in air traffic increase, the Center for Information Technology Research in the Interest of Society and the Banatao Institute (CITRIS) envisions that big data techniques such as artificial intelligence, or AI, can help.",
drones_donated_13_4_2023,Drones Donated to UC Merced by Start-Up SeekOps Will Monitor Environmental Conditions,https://news.ucmerced.edu/news/2023/drones-donated-uc-merced-start-seekops-will-monitor-environmental-conditions,13-Apr-23,"SeekOps Inc, a Texas-based start-up, has donated state-of-the-art unmanned aerial vehicles (UAVs), along with necessary software and hardware, to support UC Merced's research efforts in environmental monitoring and conservation, allowing for new advances in various research projects, including precision agriculture",
2023edge-in-tech-symposium,2023 EDGE in tech symposium,https://citris.ucmerced.edu/news/2023edge_in_tech_symposium,02-Mar-23,"The 7th Annual Edge in Tech Symposium was held virtually on March 2nd, 2023. This year’s overarching theme was Smarter Tech for a Resilient Future and highlighted the experiences of experts using emerging technologies to advance innovation for more sustainable infrastructure.",
farmers_undergrad,USDA Scholarship for UC Merced students. OPEN TO ALL MAJORS,https://citris.ucmerced.edu/news/farmers_scholarship,20-Mar-23,"USDA FARMERS is a paid internship to do research and participate ion computational and agricultural training. Connect with your favorite professor and apply for $12,500 over the academic year including the summer.",
lisa-yeo,The Complexities of Combating Cyberbullying and Harassment,https://resoundinglyhuman.com/episodes/the-complexities-of-combatting-cyberbullying-and-harassment/,21-Jan-23,"In this podcast interview with Informs, professor Lisa Yeo shares insights about modern cyberbullying. Such as how online harassment could threaten personal data and financial security. ""as a woman who worked in IT, it was really just this huge confluence of why women don’t work in IT"" - Lisa Yeo. Listen to the podcast and learn more.",
california-floods-drought-preparedness,Week of Storms Tests California's Approach to Taming Nature,https://www.nytimes.com/2023/01/05/climate/california-floods-drought-preparedness.html,5-Jan-23,"As global warming brings more intense rainfall, experts say the state needs to give rivers more room to flood safely. But the obstacles are enormous.",
experiment_station,UC Merced Gains Prestigious UC Agricultural Experiment Station Designation,https://news.ucmerced.edu/news/2022/uc-merced-gains-prestigious-uc-agricultural-experiment-station-designation,16-Nov-22,"UCs Merced and Santa Cruz became the newest campuses in the system to be named an agricultural experiment stations(AES), UC President Michael Drake announced at todays Regents meeting.",
modeling-future,Modeling Your Future,https://citris.ucmerced.edu/news/Modeling-Your-Future,5-Nov-22,"A workshop series inaugural event to learn about technology, Computer Science, networking and research. This is a free conference, open to Central Valley students. Discover paid research opportunities and apply at this event. Register here.",
